Tanggal,Kode,Tertinggi,Terendah,Penutupan,Volume,Nilai,Foreign_Sell,Foreign_Buy,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
19,MGNA,8,8,8,94100,752800,93600,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Magna Investama Mandiri Tbk.,Financials,2014,3410475412.0,Pemantauan Khusus
19,MIRA,7,7,7,75700,529900,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Mitra International Resources ,Transportation & Logistic,1997,3961452039.0,Pemantauan Khusus
19,MKNT,2,2,2,364600,729200,0,0,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya,Mitra Komunikasi Nusantara Tbk,Consumer Cyclicals,2015,5500000000.0,Pemantauan Khusus
19,MRAT,374,362,366,48300,17867200,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Mustika Ratu Tbk.,Consumer Non-Cyclicals,1995,428000000.0,Utama
19,MTPS,9,9,9,225200,2026800,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Meta Epsi Tbk.,Infrastructures,2019,2084850829.0,Pemantauan Khusus
19,MTSM,111,100,100,88900,9142300,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Metro Realty Tbk.,Properties & Real Estate,1992,232848000.0,Pemantauan Khusus
19,NASA,19,19,19,50400,957600,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Andalan Perkasa Abadi Tbk.,Properties & Real Estate,2017,11004929322.0,Pemantauan Khusus
19,NETV,58,50,53,17828900,1004389800,83100,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Net Visi Media Tbk.,Consumer Cyclicals,2022,23453177240.0,Pemantauan Khusus
19,NIRO,140,139,140,200500,27869800,200,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,City Retail Developments Tbk.,Properties & Real Estate,2012,22198871804.0,Pengembangan
19,NPGF,50,50,50,200,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Nusa Palapa Gemilang Tbk.,Basic Materials,2021,3240235840.0,Utama
19,PADI,9,8,9,63400,550100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Minna Padi Investama Sekuritas,Financials,2012,11307246524.0,Pemantauan Khusus
19,PBRX,50,50,50,2300,115000,0,0,0,0,0,0,0,0,0,0,1,0,1,2,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Pan Brothers Tbk.,Consumer Cyclicals,1990,21482028246.0,Pemantauan Khusus
19,PGUN,414,398,414,5300,2148400,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Pradiksi Gunatama Tbk.,Consumer Non-Cyclicals,2020,5737848882.0,Pemantauan Khusus
19,PLIN,2770,2660,2760,11900,32656000,600,600,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Plaza Indonesia Realty Tbk.,Properties & Real Estate,1992,3550000000.0,Pemantauan Khusus
19,POLL,142,139,140,78400,10979600,3200,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Pollux Properties Indonesia Tb,Properties & Real Estate,2018,8318823600.0,Pengembangan
19,POLU,302,228,250,523800,131711600,12700,19600,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Golden Flower Tbk.,Consumer Cyclicals,2019,750000000.0,Pengembangan
19,PPRO,50,50,50,42300,2115000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,PP Properti Tbk.,Properties & Real Estate,2015,61675671883.0,Pemantauan Khusus
19,PUDP,550,535,535,3900,2109000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Pudjiadi Prestige Tbk.,Properties & Real Estate,1994,329560000.0,Pemantauan Khusus
19,REAL,7,7,7,191100,1337700,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Repower Asia Indonesia Tbk.,Properties & Real Estate,2019,6633610151.0,Pemantauan Khusus
19,SBAT,2,2,2,1470400,2940800,0,0,0,0,0,0,0,0,0,1,1,1,1,4,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Sejahtera Bintang Abadi Textil,Consumer Cyclicals,2020,4752982378.0,Pemantauan Khusus
19,SKBM,276,276,276,400,110400,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Sekar Bumi Tbk.,Consumer Non-Cyclicals,2012,1730103217.0,Pemantauan Khusus
19,SKLT,185,175,184,161200,28996100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Sekar Laut Tbk.,Consumer Non-Cyclicals,1993,6907405000.0,Pemantauan Khusus
19,SMCB,1320,1290,1310,240300,314126500,94100,233200,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Solusi Bangun Indonesia Tbk.,Basic Materials,1977,9019381973.0,Pemantauan Khusus
19,SOHO,490,490,490,500,245000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Soho Global Health Tbk.,Healthcare,2020,12691682390.0,Pemantauan Khusus
19,SQMI,51,50,50,7491400,375130300,2008500,136800,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Wilton Makmur Indonesia Tbk.,Basic Materials,2004,15537591429.0,Pengembangan
19,SURE,1520,1520,1520,69600,105792000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Super Energy Tbk.,Energy,2018,1497576771.0,Pemantauan Khusus
19,TAMA,13,13,13,82100,1067300,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Lancartama Sejati Tbk.,Infrastructures,2020,1200000696.0,Pemantauan Khusus
19,TARA,9,9,9,28100,252900,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Agung Semesta Sejahtera Tbk.,Properties & Real Estate,2014,10069645750.0,Pemantauan Khusus
19,TIRA,384,384,384,15500,5952000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tira Austenite Tbk,Industrials,1993,588000000.0,Pemantauan Khusus
19,TOPS,4,4,4,2394500,9578000,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Totalindo Eka Persada Tbk.,Infrastructures,2017,33330000000.0,Pemantauan Khusus
19,TOTO,230,228,230,629600,144134600,9400,1000,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Surya Toto Indonesia Tbk.,Industrials,1990,10320000000.0,Pemantauan Khusus
19,TRJA,226,212,218,1602800,351402000,326200,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Transkon Jaya Tbk.,Transportation & Logistic,2020,1510200000.0,Utama
19,TRUE,50,50,50,100200,5010000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Triniti Dinamik Tbk.,Properties & Real Estate,2021,7571035172.0,Pemantauan Khusus
19,URBN,131,126,130,700,89800,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Urban Jakarta Propertindo Tbk.,Properties & Real Estate,2018,3232122640.0,Pengembangan
19,WINR,50,50,50,5000,250000,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Winner Nusantara Jaya Tbk.,Properties & Real Estate,2022,5235283825.0,Pemantauan Khusus
19,WMPP,50,50,50,400,20000,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Widodo Makmur Perkasa Tbk.,Consumer Non-Cyclicals,2021,29419000000.0,Pemantauan Khusus
19,WMUU,50,50,50,2100,105000,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Widodo Makmur Unggas Tbk.,Consumer Non-Cyclicals,2021,12941176500.0,Pemantauan Khusus
19,WOWS,50,50,50,20200,1010000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ginting Jaya Energi Tbk.,Energy,2019,2475720000.0,Pemantauan Khusus
19,WSBP,50,50,50,15200,760000,0,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Waskita Beton Precast Tbk.,Basic Materials,2016,54555721325.0,Pemantauan Khusus
19,YELO,50,50,50,2500,125000,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Yelooo Integra Datanet Tbk.,Consumer Cyclicals,2018,1912774405.0,Pemantauan Khusus
19,ZATA,50,50,50,12900,645000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Bersama Zatta Jaya Tbk.,Consumer Cyclicals,2022,8496000000.0,Pemantauan Khusus
19,ZBRA,460,452,460,25300,11623600,300,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Dosni Roha Indonesia Tbk.,Industrials,1991,2510706263.0,Pengembangan
19,ZONE,1130,1090,1125,83600,93975500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Mega Perintis Tbk.,Consumer Cyclicals,2018,870171478.0,Pengembangan
20,ABBA,51,50,50,3432900,172399400,0,1600,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Mahaka Media Tbk.,Consumer Cyclicals,2002,3935892857.0,Pemantauan Khusus
20,ADES,9850,9600,9700,52700,512052500,1000,100,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Akasha Wira International Tbk.,Consumer Non-Cyclicals,1994,589896800.0,Pemantauan Khusus
20,AGII,1530,1510,1520,44900,68168500,5400,1000,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Samator Indo Gas Tbk.,Basic Materials,2016,3066660000.0,Utama
20,AGRS,76,74,75,2993000,223776700,184600,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Bank IBK Indonesia Tbk.,Financials,2014,37365877065.0,Pemantauan Khusus
20,AIMS,550,500,515,2646000,1327595500,105200,112200,0,0,0,0,0,0,0,0,0,1,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Akbar Indo Makmur Stimec Tbk,Energy,2001,220000000.0,Pemantauan Khusus
20,ALMI,112,104,108,67800,7288800,14200,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Alumindo Light Metal Industry ,Basic Materials,1997,3816000000.0,Pemantauan Khusus
20,ARKA,50,50,50,100,5000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Arkha Jayanti Persada Tbk.,Industrials,2019,2000000000.0,Pemantauan Khusus
20,ARTA,2710,2710,2710,30600,82926000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Arthavest Tbk,Consumer Cyclicals,2002,446674175.0,Pemantauan Khusus
20,ARTI,4,4,4,919500,3678000,0,0,0,0,1,1,0,0,0,1,0,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ratu Prabu Energi Tbk,Energy,2003,7840000000.0,Pemantauan Khusus
20,BATA,102,98,100,286500,28251400,0,100000,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Sepatu Bata Tbk.,Consumer Cyclicals,1982,1300000000.0,Utama
20,BAUT,50,50,50,5200,260000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,2022,4800135289.0,Pemantauan Khusus
20,BBKP,80,78,78,20424100,1608835800,637200,2549400,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Bank KB Bukopin Tbk.,Financials,2006,185819884852.0,Utama
20,BCIC,112,109,110,59600,6568600,5800,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Bank JTrust Indonesia Tbk.,Financials,1997,17926071041.0,Pengembangan
20,BEKS,50,50,50,356400,17820000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Bank Pembangunan Daerah Banten,Financials,2001,51351733883.0,Pemantauan Khusus
20,BELI,480,472,474,28569700,13641138200,1716600,634700,0,0,0,0,0,1,0,0,0,0,0,1,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Global Digital Niaga Tbk.,Technology,2022,123210496616.0,Ekonomi Baru
20,BELL,69,67,68,478000,32314200,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Trisula Textile Industries Tbk,Consumer Cyclicals,2017,7250000000.0,Pengembangan
20,BKSL,52,51,51,35629900,1818069200,0,1017900,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Sentul City Tbk.,Properties & Real Estate,1997,167708902705.0,Pemantauan Khusus
20,BKSW,71,70,71,654400,46250100,192200,44100,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Bank QNB Indonesia Tbk.,Financials,2002,34953681505.0,Pemantauan Khusus
20,BOLT,835,820,830,245400,203332500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Garuda Metalindo Tbk.,Consumer Cyclicals,2015,2343750000.0,Pengembangan
20,BPII,10500,10500,10500,30600,321300000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Batavia Prosperindo Internasio,Financials,2014,515498662.0,Pemantauan Khusus
20,BSBK,52,50,50,22172400,1127127000,1303700,800,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Wulandari Bangun Laksana Tbk.,Properties & Real Estate,2022,25091882375.0,Pemantauan Khusus
20,BUKA,144,136,136,484547000,67164258700,250498900,172798600,0,0,0,0,0,1,0,0,0,0,0,1,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Bukalapak.com Tbk.,Technology,2021,103099967067.0,Ekonomi Baru
20,CBRE,50,50,50,47900,2395000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Cakra Buana Resources Energi T,Energy,2023,4538041373.0,Pemantauan Khusus
20,CENT,56,50,51,13680700,725545200,22400,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Centratama Telekomunikasi Indo,Infrastructures,2001,31183464900.0,Pemantauan Khusus
20,CINT,152,143,148,19800,2917200,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Chitose Internasional Tbk.,Consumer Cyclicals,2014,1000000000.0,Pengembangan
20,CMNP,1580,1560,1575,11000,17287000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Citra Marga Nusaphala Persada ,Infrastructures,1995,5436872008.0,Utama
20,CMPP,120,118,118,190700,22798000,0,0,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya,AirAsia Indonesia Tbk.,Transportation & Logistic,1994,10685124441.0,Pemantauan Khusus
20,COAL,50,50,50,71800,3590000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Black Diamond Resources Tbk.,Energy,2022,6250000000.0,Pengembangan
20,DADA,6,6,6,7605600,45633600,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Diamond Citra Propertindo Tbk.,Properties & Real Estate,2020,7431530800.0,Pemantauan Khusus
20,DIGI,15,15,15,77400,1161000,0,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Arkadia Digital Media Tbk.,Consumer Cyclicals,2018,1625000000.0,Pemantauan Khusus
20,DMND,805,790,805,2100,1670500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals,2020,9468359000.0,Pemantauan Khusus
20,DPUM,24,24,24,500,12000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals,2015,4175000000.0,Pemantauan Khusus
20,ENZO,73,69,69,5146200,363941400,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals,2020,2162547122.0,Pemantauan Khusus
20,EPAC,7,7,7,231100,1617700,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Megalestari Epack Sentosaraya ,Basic Materials,2020,3303400000.0,Pemantauan Khusus
20,EPMT,2460,2440,2450,1800,4407000,1100,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals,1994,2708640000.0,Pemantauan Khusus
20,FAST,990,765,830,656100,557933500,209600,900,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Fast Food Indonesia Tbk.,Consumer Cyclicals,1993,3990277158.0,Pengembangan
20,FLMC,24,23,24,2900,69500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals,2021,781250000.0,Pemantauan Khusus
