Kode,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus
TRIL,Triwira Insanlestari Tbk.,Industrials,2008,1200000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
ARTI,Ratu Prabu Energi Tbk,Energy,2003,7840000000.0,Pemantauan Khusus,0,0,1,1,0,0,0,1,0,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
BIPP,Bhuwanatala Indah Permai Tbk.,Properties & Real Estate,1995,5028669376.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
TOTO,Surya Toto Indonesia Tbk.,Industrials,1990,10320000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ALMI,Alumindo Light Metal Industry ,Basic Materials,1997,3816000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MYTX,Asia Pacific Investama Tbk.,Consumer Cyclicals,1989,7747281949.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
ARTA,Arthavest Tbk,Consumer Cyclicals,2002,446674175.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,2002,480000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
WOWS,Ginting Jaya Energi Tbk.,Energy,2019,2475720000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
NPGF,Nusa Palapa Gemilang Tbk.,Basic Materials,2021,3240235840.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
SCNP,Selaras Citra Nusantara Perkas,Consumer Cyclicals,2020,2500000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
DART,Duta Anggada Realty Tbk.,Properties & Real Estate,1990,3141390962.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
KBLV,First Media Tbk.,Infrastructures,2000,1742167907.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals,2020,9468359000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
